id_short,id,id_english,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
北京,北京市,Beijing,3.45 ,3.68 ,4.38 ,4.90 ,5.58 ,6.60 ,7.23 ,7.59 ,8.42 ,9.18 ,9.61 ,10.09 ,10.57 ,11.12 ,12.14 ,13.02 ,13.97 ,16.28 
天津,天津市,Tianjin,2.24 ,2.58 ,3.10 ,3.88 ,4.41 ,5.13 ,6.44 ,7.00 ,8.27 ,9.62 ,10.50 ,11.12 ,11.61 ,11.70 ,12.15 ,12.23 ,12.16 ,9.03 
河北,河北省,Hebei,0.91 ,1.04 ,1.27 ,1.49 ,1.69 ,2.00 ,2.34 ,2.50 ,2.94 ,3.51 ,3.78 ,3.95 ,4.06 ,4.09 ,4.37 ,4.61 ,4.85 ,4.70 
山西,山西省,Shanxi,0.73 ,0.88 ,1.09 ,1.28 ,1.47 ,1.81 ,2.18 ,2.18 ,2.71 ,3.29 ,3.53 ,3.54 ,3.55 ,3.54 ,3.60 ,4.26 ,4.59 ,4.62 
内蒙古,内蒙古自治区,Inner Mongolia,0.82 ,1.01 ,1.28 ,1.64 ,2.07 ,2.68 ,3.54 ,4.03 ,4.81 ,5.88 ,6.46 ,6.84 ,7.16 ,7.16 ,7.26 ,6.43 ,6.89 ,6.83 
辽宁,辽宁省,Liaoning,1.31 ,1.43 ,1.59 ,1.91 ,2.21 ,2.65 ,3.24 ,3.56 ,4.29 ,5.15 ,5.72 ,6.22 ,6.53 ,6.53 ,5.07 ,5.33 ,5.78 ,5.69 
吉林,吉林省,Jilin,0.88 ,0.99 ,1.16 ,1.34 ,1.58 ,1.95 ,2.37 ,2.67 ,3.17 ,3.87 ,4.36 ,4.75 ,5.02 ,5.11 ,5.37 ,5.43 ,5.48 ,4.29 
黑龙江,黑龙江省,Heilongjiang,0.96 ,1.07 ,1.25 ,1.45 ,1.63 ,1.86 ,2.18 ,2.25 ,2.71 ,3.29 ,3.58 ,3.77 ,3.92 ,3.93 ,4.01 ,4.15 ,4.29 ,3.58 
上海,上海市,Shanghai,3.89 ,4.16 ,4.84 ,5.40 ,5.99 ,6.81 ,7.44 ,7.66 ,8.32 ,8.97 ,9.13 ,9.47 ,10.04 ,10.56 ,11.67 ,12.63 ,13.53 ,15.77 
江苏,江苏省,Jiangsu,1.47 ,1.70 ,2.04 ,2.51 ,2.92 ,3.46 ,4.08 ,4.50 ,5.36 ,6.33 ,6.92 ,7.59 ,8.24 ,8.85 ,9.75 ,10.79 ,11.61 ,12.46 
浙江,浙江省,Zhejiang,1.79 ,2.07 ,2.46 ,2.81 ,3.24 ,3.81 ,4.30 ,4.53 ,5.38 ,6.20 ,6.57 ,6.93 ,7.35 ,7.83 ,8.59 ,9.40 ,10.15 ,11.15 
安徽,安徽省,Anhui,0.56 ,0.64 ,0.78 ,0.87 ,0.99 ,1.18 ,1.45 ,1.65 ,2.02 ,2.49 ,2.81 ,3.23 ,3.49 ,3.67 ,4.05 ,4.44 ,4.88 ,5.99 
