Province,Year,Population(million),fiscal revenue(billion USD),fical expenditure(billion USD),Region
Anhui,2012,59.6,25.6,23.5,East
Anhui,2013,59.7,29.6,30.6,East
Anhui,2014,59.9,31.7,37,East
Anhui,2015,60.3,35.1,47.2,East
Anhui,2016,60.8,38.2,56.6,East
Anhui,2017,61.4,40.2,62.1,East
Anhui,2018,62,43.6,66.6,East
Anhui,2019,62.5,45.5,74.8,East
Beijing,2012,19.6,47.4,28,North
Beijing,2013,20.2,52.3,33.1,North
Beijing,2014,20.7,57.5,38.8,North
Beijing,2015,21.2,67.5,46.4,North
Beijing,2016,21.5,72.6,52.6,North
Beijing,2017,21.7,77.6,59.6,North
Beijing,2018,21.7,82.7,64.6,North
Beijing,2019,21.9,83.1,82,North
Fujian,2012,36.9,25.4,16.3,East
Fujian,2013,37.2,30.3,20.2,East
Fujian,2014,37.5,33.7,24.2,East
Fujian,2015,37.7,36.3,31.4,East
Fujian,2016,38.1,37.9,37.3,East
Fujian,2017,38.4,40.1,43.8,East
Fujian,2018,38.7,43,47.2,East
Fujian,2019,39.1,43.6,57.2,East
Gansu,2012,25.6,7.4,13.8,West
Gansu,2013,25.6,8.7,17.8,West
Gansu,2014,25.8,9.6,21,West
Gansu,2015,25.8,10.6,25.6,West
Gansu,2016,25.9,11.2,29.4,West
Gansu,2017,26,11.7,33,West
Gansu,2018,26.1,12.4,36.3,West
Gansu,2019,26.2,12.1,42.3,West
Guangdong,2012,104.4,89,54,South
Guangdong,2013,105.1,101.2,61.9,South
Guangdong,2014,105.9,115.2,77.5,South
Guangdong,2015,106.4,133.8,95.9,South
Guangdong,2016,107.2,148.4,105.5,South
Guangdong,2017,108.5,161.7,120.2,South
Guangdong,2018,110,172.9,130.8,South
Guangdong,2019,111.3,180.8,183.3,South
Guangxi,2012,46.1,16.7,18.5,South
Guangxi,2013,46.5,18.8,23.2,South
Guangxi,2014,46.8,20.3,28.7,South
Guangxi,2015,47.2,21.6,36.4,South
Guangxi,2016,47.5,22.2,42.6,South
Guangxi,2017,48,23.1,45.8,South
Guangxi,2018,48.4,24,49.7,South
Guangxi,2019,48.8,25.9,58.1,South
Guizhou,2012,34.8,14.5,15.1,West
Guizhou,2013,34.7,17.2,19.6,West
Guizhou,2014,34.8,19.5,23.3,West
Guizhou,2015,35,21.5,32.1,West
Guizhou,2016,35.1,22.3,39.4,West
Guizhou,2017,35.3,23.1,44,West
Guizhou,2018,35.6,24.7,50.6,West
Guizhou,2019,35.8,25.2,56.3,West
Hainan,2012,8.7,5.8,5.1,South
Hainan,2013,8.8,6.9,6.9,South
Hainan,2014,8.9,7.9,8.3,South
Hainan,2015,9,9,11.1,South
Hainan,2016,9,9.1,13,South
Hainan,2017,9.1,9.6,14.4,South
Hainan,2018,9.2,10.8,15.7,South
Hainan,2019,9.2,11.6,17.7,South
Hebei,2012,71.9,29.8,26.9,North
Hebei,2013,72.4,32.8,33.5,North
Hebei,2014,72.9,35,40.3,North
Hebei,2015,73.3,37.8,50.5,North
Hebei,2016,73.8,40.7,58.3,North
Hebei,2017,74.3,46.2,63,North
Hebei,2018,74.7,50.2,66.8,North
Hebei,2019,75.2,53.4,80.5,North
Henan,2012,94.1,29.1,32.6,Central
Henan,2013,93.9,34.5,41.5,Central
Henan,2014,94.1,39.1,48.8,Central
Henan,2015,94.1,43.1,60.7,Central
Henan,2016,94.4,45,71.5,Central
Henan,2017,94.8,48.7,79.7,Central
Henan,2018,95.3,53.8,86.1,Central
Henan,2019,95.8,57.7,97.1,Central
Heilongjiang,2012,38.3,16.6,22,Notheast
Heilongjiang,2013,38.3,18.2,26.8,Notheast
Heilongjiang,2014,38.3,18.6,32.2,Notheast
Heilongjiang,2015,38.4,16.7,39.9,Notheast
Heilongjiang,2016,38.3,16.4,45.3,Notheast
Heilongjiang,2017,38.1,17.8,48.1,Notheast
Heilongjiang,2018,38,18.3,49.1,Notheast
Heilongjiang,2019,37.9,18,57.4,Notheast
Hubei,2012,57.3,26,23.6,Central
Hubei,2013,57.6,31.3,29.9,Central
Hubei,2014,57.8,36.7,35.7,Central
Hubei,2015,58,42.9,45.9,Central
Hubei,2016,58.2,44.3,53.7,Central
Hubei,2017,58.5,46.4,62.5,Central
Hubei,2018,58.9,47.2,70.5,Central
Hubei,2019,59.2,48.4,87.6,Central
Hunan,2012,65.7,25.5,25.2,Central
Hunan,2013,66,29,31.6,Central
Hunan,2014,66.4,32.3,38.6,Central
Hunan,2015,66.9,35.9,50.3,Central
Hunan,2016,67.4,38.5,58.8,Central
Hunan,2017,67.8,39.4,67,Central
Hunan,2018,68.2,40.9,71.7,Central
Hunan,2019,68.6,43,81.8,Central
Jilin,2012,27.5,14.9,16.9,Notheast
Jilin,2013,27.5,16.5,21.1,Notheast
Jilin,2014,27.5,17.2,25.5,Notheast
Jilin,2015,27.5,17.6,31.5,Notheast
Jilin,2016,27.5,18.1,35.3,Notheast
Jilin,2017,27.5,17.3,39.2,Notheast
Jilin,2018,27.3,17.7,41.6,Notheast
Jilin,2019,27.2,16,46,Notheast
Jiangsu,2012,78.7,83.7,46.4,East
Jiangsu,2013,79,93.8,57.4,East
Jiangsu,2014,79.2,103.3,70.2,East
Jiangsu,2015,79.4,114.7,88.9,East
Jiangsu,2016,79.6,116,100.4,East
Jiangsu,2017,79.8,116.7,111.4,East
