GDP(billion$),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
National Total,1388.71 ,1550.76 ,1722.51 ,1989.34 ,2394.10 ,2845.80 ,3325.93 ,3996.23 ,4761.63 ,5218.62 ,6243.46 ,7449.16 ,8236.45 ,9062.08 ,9776.42 ,10325.26 ,11143.86 ,12102.00 ,13067.25 ,14076.19 
Beijing,35.41 ,53.01 ,61.86 ,71.77 ,86.58 ,99.56 ,115.97 ,140.67 ,158.79 ,173.61 ,201.62 ,232.17 ,255.42 ,282.87 ,304.73 ,328.78 ,366.70 ,400.21 ,433.14 ,505.30 
Tianjin,23.42 ,27.42 ,30.73 ,36.83 ,44.44 ,55.79 ,63.75 ,75.04 ,95.99 ,107.46 ,131.78 ,161.53 ,184.20 ,206.31 ,224.67 ,236.26 ,255.51 ,264.99 ,268.71 ,201.49 
Hebei,72.70 ,78.81 ,85.98 ,98.88 ,121.11 ,143.03 ,163.82 ,194.39 ,228.74 ,246.22 ,291.35 ,350.23 ,379.64 ,406.33 ,420.30 ,425.80 ,458.15 ,485.95 ,514.43 ,501.49 
Shanxi,23.48 ,28.99 ,33.21 ,40.79 ,51.02 ,60.44 ,69.69 ,86.06 ,104.51 ,105.12 ,131.44 ,160.54 ,173.04 ,180.93 ,182.31 ,182.38 ,186.43 ,221.83 ,240.26 ,243.24 
Inner Mongolia,20.01 ,24.48 ,27.73 ,34.12 ,43.44 ,55.79 ,70.63 ,91.76 ,121.37 ,139.15 ,166.74 ,205.14 ,226.87 ,241.66 ,253.86 ,254.74 ,258.97 ,229.95 ,246.99 ,245.89 
Liaoning,66.70 ,71.90 ,77.97 ,85.75 ,95.31 ,114.96 ,132.92 ,159.49 ,195.27 ,217.32 ,263.68 ,317.52 ,354.95 ,388.76 ,408.95 ,409.56 ,317.81 ,334.42 ,361.65 ,355.85 
Jilin,26.02 ,30.29 ,33.55 ,38.03 ,44.60 ,51.72 ,61.07 ,75.50 ,91.80 ,103.98 ,123.82 ,150.98 ,170.56 ,186.38 ,197.19 ,200.90 ,211.10 ,213.49 ,215.35 ,167.53 
Heilongjiang,46.47 ,48.43 ,51.96 ,57.96 ,67.87 ,78.77 ,88.74 ,101.49 ,118.78 ,122.67 ,148.12 ,179.74 ,195.59 ,206.50 ,214.85 ,215.48 ,219.80 ,227.18 ,233.74 ,194.47 
Shanghai,65.02 ,74.43 ,82.01 ,95.63 ,115.33 ,132.11 ,151.03 ,178.49 ,201.00 ,214.95 ,245.23 ,274.22 ,288.31 ,311.69 ,336.68 ,358.91 ,402.55 ,437.61 ,466.86 ,545.08 
